PC1 PC2 PC3 db_cluster
100.413234488706 99.9211470088413 100.298858358307 1
100.397699161709 99.9029369475081 100.317708272597 1
99.4454452858689 100.675878511954 100.690731259968 2
100.069000591432 99.7915195942402 100.672184350438 0
99.6403366674207 100.304778011715 99.7118036591522 3
100.342485771712 99.3076481408114 100.020242541474 0
99.5399516113574 100.771287324125 98.7956250472103 0
100.559262560471 99.6548180242246 99.7870788503312 0
100.630502906623 100.52532879543 99.9180405118454 4
100.77314520893 99.5355453062767 99.5312926347279 7
100.208229132952 99.3447838092043 100.647582162904 0
99.9228077694411 100.402134566887 99.8568338322082 0
100.329742239735 99.9166398141493 100.816415566247 0
100.260561585241 100.013019510938 100.631009732727 5
99.9798985441495 99.4647879584292 100.494087540571 53
100.699237349507 99.6181451424855 99.4670494214197 0
99.5069503738291 100.971282650928 98.9054341654512 0
99.4554549757429 100.716402505752 100.700886773682 2
100.220286508011 100.542213845201 99.7035539381357 0
100.598053713382 99.8217432768727 99.9299384394565 6
100.824100926278 99.7496647863763 99.8380691003457 0
99.6349584273216 100.238083273142 99.7364750823131 0
100.72791615966 99.5716737587394 99.4777532335745 7
100.092117952771 99.7948301848484 99.4532846106258 8
99.9241751083785 100.236289738466 99.9806129400402 0
100.31526057643 99.9923128040907 100.655443183779 0
100.386077666582 100.238661820399 99.6831443709983 9
100.738160064542 99.6079539214895 99.5208344874317 7
100.068700332406 100.464641178092 100.236255098829 58
100.176789653521 99.5732229364472 99.9090192334022 0
100.063925504046 100.268299344924 100.026562485577 0
100.252226745144 100.004097601874 100.620375359506 5
100.334615539909 99.9819773808884 99.9427421613813 10
100.767688233856 99.5754107400472 99.5078660320332 7
100.284213950324 100.036518318074 99.9043981730451 0
100.739698167656 100.561417861295 99.996377655908 0
100.305441404499 99.9578004421228 100.794381607074 24
100.944006270089 99.7231429216517 99.5806004806793 11
100.059776510727 100.057859026879 100.612010752884 0
100.751345626003 99.5226117525174 99.5414608168942 7
100.947571840924 99.7287002058812 99.630235093294 11
100.279629133839 99.9883488449151 100.626941965319 5
100.737682199274 99.5331619426047 99.5135622886795 7
99.6171752024576 100.343696504981 99.6845721320075 0
100.28311870145 100.367571007239 100.223812570581 0
100.744544408198 99.5886876893969 99.4684120022769 7
