HPminus HPplus HP3 svm.pred
100.413234488706 99.9211470088413 100.298858358307 1
100.397699161709 99.9029369475081 100.317708272597 1
99.4454452858689 100.675878511954 100.690731259968 2
100.069000591432 99.7915195942402 100.672184350438 0
99.6403366674207 100.304778011715 99.7118036591522 3
100.358787491412 99.995069902804 100.160186870725 0
99.9111369176399 100.569555991024 101.090693150325 54
99.5346043271083 100.788383502837 99.0277813037874 0
99.5161523498826 100.962448308256 99.8190579899405 0
100.067554098886 99.8493257783498 100.402577362137 0
100.369451767627 100.520859753036 99.9710211212187 0
100.105104792559 99.8943652425937 100.201209387528 0
99.7245443437339 100.286976086754 100.107470709661 0
100.342485771712 99.3076481408114 100.020242541474 0
100.041130712215 100.54086460158 99.5019092763393 0
100.170090063881 99.58754005078 99.9252013076387 0
100.393559249028 99.9203708293665 100.307115686956 1
100.243802555245 100.015101785689 100.651939545978 5
100.464678539463 100.129273384264 99.986842731816 0
100.543723841716 100.414797476921 100.035121779597 0
100.74920052181 99.8754575846263 100.087670827589 0
100.345153483393 99.9258738657041 99.6277086203439 0
100.263600569339 100.128523274575 100.564804373572 0
99.5889475301494 100.433168741777 99.2490147416582 0
99.5399516113574 100.771287324125 98.7956250472103 0
100.117331707362 100.289547531777 100.132455459301 15
100.22564235113 100.893142870331 99.0767655377492 0
99.5323233872093 100.428911815 99.4612708527421 0
100.355985764782 99.8957158082076 100.314315626659 0
100.559262560471 99.6548180242246 99.7870788503312 0
100.723429393702 100.246385954036 99.4235470848566 0
100.095428950866 100.80405286594 99.4833832252283 0
99.9069635790355 100.958884747616 100.108532075616 0
100.512159941883 100.498343935838 100.365246178433 0
100.800917935149 100.121194126523 99.8172388408053 0
99.8286321317572 100.302683477413 99.6814149927481 0
100.02022406877 99.743724481863 100.4889150485 0
100.108641395847 100.030165885625 99.404229598026 0
100.039815051604 99.9695569419035 100.563388855384 0
99.3726287457439 100.751289147899 100.787827338619 0
100.093565705814 100.185122727751 100.469914371175 0
100.144315722938 99.87475745224 100.10306008174 0
100.28913064863 100.78557907426 100.774506677588 42
99.5045806593206 100.672546742257 100.855000580721 0
99.479439596438 100.681066420348 100.732546497478 2
100.307443081081 100.335797290036 100.025930032335 0
99.6603237774994 100.942014621396 99.2383168513297 0
